企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
株式会社プロトスター,ENTJ,"ESTJ, ENTP, INTJ",https://www.protostar-inc.com/,ベンチャー支援,小規模,スタートアップ志向,フレックス制・リモート可,事業開発・ファイナンス,成果主義,,,,,,,,,,,
株式会社ヘッドウォータース,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.headwaters.co.jp/,AI・データ活用,小規模,AI・DX推進,フレックス制・リモート可,AI開発・データ分析,成果主義,,,,,,,,,,,
株式会社ポラス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.polus.co.jp/,住宅・不動産,大規模,地域密着型,固定勤務,営業・建築知識,年功序列＋成果評価,,,,,,,,,,,
株式会社マニュライフ生命,ENTP,"INFJ, ENFP, ENTJ",https://www.manulife.co.jp/,保険,大規模,安定志向・成果主義,固定勤務,金融知識・営業,成果主義,,,,,,,,,,,
株式会社マネーツリー,ENFP,"INFJ, ENTP, ENTJ",https://www.moneytree.jp/,FinTech,小規模,データ連携DX,フレックス制・リモート可,金融データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社ミライロ,ESFJ,"ENFP, ISFJ, ESTJ",https://www.mirairo.co.jp/,HR・障害者支援,小規模,インクルーシブ経営,フレックス制・リモート可,HR・福祉知識,成果主義,,,,,,,,,,,
株式会社みんなのウェディング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mwed.co.jp/,ブライダルDX,小規模,ユーザー志向,フレックス制・リモート可,マーケティング・データ分析,成果主義,,,,,,,,,,,
株式会社メットライフ生命保険,ENTP,"INFJ, ENFP, ENTJ",https://www.metlife.co.jp/,保険,大規模,成果主義・営業重視,固定勤務,営業・金融知識,成果主義,,,,,,,,,,,
株式会社メドレー,ESTJ,"ENTP, ISTJ, ENTJ",https://www.medley.jp/,医療DX,中規模,医療業界DX,フレックス制・リモート可,医療データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社ライフカード,ENTP,"INFJ, ENFP, ENTJ",https://www.lifecard.co.jp/,金融（クレジット）,中規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
株式会社ラクス,ENTP,"INFJ, ENFP, ENTJ",https://www.rakus.co.jp/,SaaS（業務効率化）,中規模,業務改善DX,フレックス制・リモート可,システム導入・営業,成果主義,,,,,,,,,,,
株式会社ラクスル,INFJ,"ENFP, INTJ, ENTP",https://corp.raksul.com/,印刷EC・物流,中規模,コスト削減志向,フレックス制・リモート可,マーケティング・物流知識,成果主義,,,,,,,,,,,
株式会社ラブグラフ,ENFP,"INFJ, ENTP, ENTJ",https://lovegraph.me/,写真・クリエイティブ,小規模,クリエイティブ文化,フレックス制・リモート可,写真撮影・マーケティング,成果主義,,,,,,,,,,,
株式会社ラボット,ENTP,"INFJ, ENFP, ENTJ",https://labout.jp/,AI・ロボティクス,小規模,最先端技術志向,フレックス制・リモート可,AI開発・プロダクト設計,成果主義,,,,,,,,,,,
株式会社ランサーズ,ESFP,"ENFP, ENTJ, ISFP",https://www.lancers.co.jp/,IT・クラウドソーシング,中規模,フリーランス支援・リモートワーク推奨,フレックス制・リモート可,プロジェクト管理・マーケティング,成果主義,,,,,,,,,,,
株式会社リアルワールド,ENTJ,"ESTJ, ENTP, INTJ",https://realworld.co.jp/,IT・クラウドソーシング,中規模,フリーランス文化・柔軟性重視,フレックス制・リモート可,デジタルマーケティング・開発,成果主義,,,,,,,,,,,
株式会社リーディング・ソリューション,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.leading-sol.com/,コンサルティング,中規模,成長志向・実力主義,固定勤務,コンサルティング・分析力,成果主義,,,,,,,,,,,
株式会社リクシィ,ESFJ,"ENFP, ISFJ, ESTJ",https://www.rikx.co.jp/,不動産テック,小規模,イノベーション志向,フレックス制・リモート可,営業・マーケティング,成果主義,,,,,,,,,,,
株式会社リディッシュ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.riddish.jp/,フードテック,小規模,クリエイティブ志向,フレックス制,食品マーケティング・営業,成果主義,,,,,,,,,,,
株式会社リネットジャパン,ENTJ,"ESTJ, ENTP, INTJ",https://www.renet.jp/,リサイクル・環境,中規模,環境保護・SDGs推進,固定勤務,リサイクル・営業,年功序列,,,,,,,,,,,
株式会社リバネス,INFJ,"ENFP, INTJ, ENTP",https://lne.st/,教育・研究,中規模,イノベーション志向,フレックス制,科学研究・教育,成果主義,,,,,,,,,,,
株式会社リブセンス,ENFP,"INFJ, ENTP, ENTJ",https://www.livesense.co.jp/,IT・求人メディア,中規模,データ志向・成果報酬型モデル,フレックス制・リモート可,Webマーケティング・開発,成果主義,,,,,,,,,,,
株式会社リフト,ENTP,"INFJ, ENFP, ENTJ",https://www.lyft.com/,IT・モビリティ,小規模,スタートアップ文化,フレックス制・リモート可,ソフトウェア開発・データ解析,成果主義,,,,,,,,,,,
株式会社レイヤード,ISTJ,"ESTJ, ENTJ, ISTP",https://www.layered.co.jp/,建築・インテリア,小規模,デザイン志向,固定勤務,建築デザイン・プロジェクト管理,成果主義,,,,,,,,,,,
株式会社レオパレス21,ISTJ,"ESTJ, ENTJ, ISTP",https://www.leopalace21.co.jp/,不動産,大規模,安定志向,固定勤務,不動産管理・営業,年功序列,,,,,,,,,,,
株式会社住友生命フィナンシャル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumitomolife.co.jp/,保険,大規模,安定志向,固定勤務,保険知識・営業,年功序列,,,,,,,,,,,
株式会社第一生命フィナンシャル,INTJ,"ENTP, INTP, INFJ",https://www.dai-ichi-life.co.jp/,保険,大規模,安定志向,フレックス制,保険業務・営業,成果主義,,,,,,,,,,,
株式会社東京海上アセットマネジメント,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.tokiomarineam.co.jp/,金融・資産運用,大規模,安定志向,フレックス制,資産運用・ファイナンス,成果主義,,,,,,,,,,,
株式会社明治安田生命,ENFP,"INFJ, ENTP, ENTJ",https://www.meijiyasuda.co.jp/,保険,大規模,安定志向,固定勤務,保険知識・営業,年功序列,,,,,,,,,,,
関西テレビ放送,ENFP,"INFJ, ENTP, ENTJ",https://www.ktv.jp/,放送・メディア,大規模,クリエイティブ志向,シフト制,映像制作・企画,年功序列,,,,,,,,,,,
関西電通,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kansaidentsu.co.jp/,通信,中規模,技術志向,固定勤務,ネットワーク構築・通信技術,成果主義,,,,,,,,,,,
丸運,ESFP,"ENFP, ENTJ, ISFP",https://www.maru-un.co.jp/,物流,大規模,安定志向,シフト制,物流管理・オペレーション,年功序列,,,,,,,,,,,
丸亀製麺,ENTJ,"ESTJ, ENTP, INTJ",https://www.marugame-seimen.com/,飲食,大規模,サービス重視,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
丸紅,ISTJ,"ESTJ, ENTJ, ISTP",https://www.marubeni.com/,商社,大規模,グローバル志向,フレックス制,貿易・事業開発,成果主義,,,,,,,,,,,
丸紅エネルギー,ENTJ,"ESTJ, ENTP, INTJ",https://www.marubeni-ene.com/,エネルギー,大規模,安定志向,固定勤務,エネルギー開発・営業,年功序列,,,,,,,,,,,
丸紅ネットワークソリューションズ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.mn-sol.co.jp/,IT・通信,中規模,技術志向,フレックス制,ネットワーク構築・営業,成果主義,,,,,,,,,,,
丸紅食料,ENTJ,"ESTJ, ENTP, INTJ",https://www.marubeni.co.jp/,食品・商社,大規模,安定志向,フレックス制,食品貿易・マーケティング,成果主義,,,,,,,,,,,
丸紅食料株式会社,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.marubeni.com/jp/,商社（食品）,大規模,安定志向,フレックス制,食品貿易・マーケティング,年功序列,,,,,,,,,,,
紀ノ国屋,ESTP,"ESFP, ENTP, ISTP",https://www.e-kinokuniya.com/,小売（食品）,中規模,高級志向・品質重視,シフト制,販売・接客,成果主義,,,,,,,,,,,
吉野家ホールディングス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.yoshinoya-holdings.com/,飲食,大規模,サービス重視,シフト制,店舗運営・接客,成果主義,,,,,,,,,,,
久光製薬,ISTP,"ESTP, ISTJ, ESTJ",https://www.hisamitsu.co.jp/,製薬,大規模,研究開発志向,フレックス制,薬学・研究,成果主義,,,,,,,,,,,
京セラ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kyocera.co.jp/,電子部品・通信,大規模,技術志向,フレックス制,エンジニアリング・製造,年功序列＋成果主義,,,,,,,,,,,
京セラコミュニケーションシステム,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kccs.co.jp/,IT・通信,中規模,技術志向,フレックス制,通信ネットワーク・SI,成果主義,,,,,,,,,,,
京王電鉄,ISTJ,"ESTJ, ENTJ, ISTP",https://www.keio.co.jp/,鉄道,大規模,安定志向,シフト制,鉄道運営・接客,年功序列,,,,,,,,,,,
京阪ホールディングス,INFJ,"ENFP, INTJ, ENTP",https://www.keihan-holdings.co.jp/,鉄道,大規模,地域密着,シフト制,鉄道運営・接客,年功序列,,,,,,,,,,,
京都アニメーション,INTJ,"ENTP, INTP, INFJ",https://www.kyotoanimation.co.jp/,アニメ制作,中規模,クリエイティブ志向,固定勤務,アニメ制作・作画,成果主義,,,,,,,,,,,
京都大学,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kyoto-u.ac.jp/,教育・研究,大規模,アカデミック志向,固定勤務,教育・研究,年功序列,,,,,,,,,,,
京浜急行電鉄,ISTJ,"ESTJ, ENTJ, ISTP",https://www.keikyu.co.jp/,鉄道,大規模,地域密着,シフト制,鉄道運営・接客,年功序列,,,,,,,,,,,
京葉銀行,INTJ,"ENTP, INTP, INFJ",https://www.keiyobank.co.jp/,金融,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
共同通信社,ISTP,"ESTP, ISTJ, ESTJ",https://www.kyodo.co.jp/,メディア,大規模,ジャーナリズム志向,固定勤務,ライティング・報道,年功序列,,,,,,,,,,,
共和工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kyowa-ind.co.jp/,製造,中規模,技術志向,固定勤務,製造・品質管理,成果主義,,,,,,,,,,,
興和,ESFJ,"ENFP, ISFJ, ESTJ",https://www.kowa.co.jp/,商社・医薬品,大規模,安定志向,フレックス制,医薬品営業・事業開発,成果主義,,,,,,,,,,,
近畿日本ツーリスト,ISTJ,"ESTJ, ENTJ, ISTP",https://www.knt.co.jp/,旅行,大規模,ホスピタリティ志向,シフト制,旅行企画・接客,成果主義,,,,,,,,,,,
近鉄エクスプレス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kwe.com/,物流,大規模,グローバル志向,フレックス制,物流管理・国際貿易,成果主義,,,,,,,,,,,
近鉄グループホールディングス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kintetsu.co.jp/,鉄道・不動産,大規模,地域密着,シフト制,鉄道運営・不動産管理,年功序列,,,,,,,,,,,
近鉄不動産,ISTJ,,https://www.kintetsu-re.co.jp/,不動産,大規模,安定志向,固定勤務,不動産開発・営業,成果主義,,,,,,,,,,,
近鉄不動産販売,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kintetsu-re.co.jp/,不動産,中規模,地域密着,固定勤務,不動産営業・販売,成果主義,,,,,,,,,,,
九州大学,INTP,"INTJ, ENTP, INFP",https://www.kyushu-u.ac.jp/,教育・研究,大規模,アカデミック志向,固定勤務,教育・研究,年功序列,,,,,,,,,,,
九州旅客鉄道（JR九州）,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jrkyushu.co.jp/,鉄道,大規模,地域密着,シフト制,鉄道運営・接客,年功序列,,,,,,,,,,,
熊谷組,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kumagaigumi.co.jp/,建設,大規模,技術志向,固定勤務,建築設計・施工管理,成果主義,,,,,,,,,,,
慶應義塾大学,INTJ,"ENTP, INTP, INFJ",https://www.keio.ac.jp/,教育・研究,大規模,アカデミック志向,固定勤務,教育・研究,年功序列,,,,,,,,,,,
兼松エレクトロニクス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kel.co.jp/,商社・IT,大規模,技術志向,フレックス制,IT営業・システム開発,成果主義,,,,,,,,,,,
兼松トレーディング,ENTJ,"ESTJ, ENTP, INTJ",https://www.kanematsu.co.jp/,商社,大規模,グローバル志向,フレックス制,貿易・営業,成果主義,,,,,,,,,,,
幻冬舎,ENFP,"INFJ, ENTP, ENTJ",https://www.gentosha.co.jp/,出版,中規模,クリエイティブ志向,固定勤務,編集・ライティング,成果主義,,,,,,,,,,,
戸田法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.toda-law.com/,法律,中規模,専門性重視,固定勤務,法律知識・交渉力,成果主義,,,,,,,,,,,
五洋建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.penta-ocean.co.jp/,建設,大規模,技術志向,固定勤務,建築設計・施工管理,成果主義,,,,,,,,,,,
光文社,INFP,"INFJ, ENFP, INTP",https://www.kobunsha.com/,出版,中規模,クリエイティブ志向,固定勤務,編集・ライティング,成果主義,,,,,,,,,,,
公文教育研究会,INFJ,"ENFP, INTJ, ENTP",https://www.kumon.ne.jp/,教育,大規模,教育志向,固定勤務,指導力・教材開発,成果主義,,,,,,,,,,,
江崎グリコ,ISFP,"ESFP, ENFP, INFP",https://www.glico.com/,食品,大規模,ブランド志向,固定勤務,食品開発・マーケティング,成果主義,,,,,,,,,,,
講談社,ENFP,"INFJ, ENTP, ENTJ",https://www.kodansha.co.jp/,出版,大規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列＋成果主義,,,,,,,,,,,
高島屋,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.takashimaya.co.jp/,百貨店,大規模,顧客志向,シフト制,販売・店舗運営,年功序列,,,,,,,,,,,
鴻池運輸,ESTJ,"ENTP, ISTJ, ENTJ",https://www.konoike.net/,物流,大規模,安定志向,シフト制,物流管理・オペレーション,年功序列,,,,,,,,,,,
鴻池組,ISTJ,"ESTJ, ENTJ, ISTP",https://www.konoike.co.jp/,建設,大規模,技術志向,フレックス制,建築設計・施工管理,年功序列,,,,,,,,,,,
佐川急便,ESTJ,"ENTP, ISTJ, ENTJ",https://www.sagawa-exp.co.jp/,物流,大規模,顧客志向,シフト制,配送・物流管理,成果主義,,,,,,,,,,,
佐渡汽船,ESTP,"ESFP, ENTP, ISTP",https://www.sadokisen.co.jp/,運輸,中規模,地域密着,シフト制,船舶運航・接客,年功序列,,,,,,,,,,,
阪急交通社,ESFJ,"ENFP, ISFJ, ESTJ",https://www.hankyu-travel.com/,旅行,大規模,ホスピタリティ志向,シフト制,旅行企画・販売,成果主義,,,,,,,,,,,
阪和興業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hanwa.co.jp/,商社,大規模,グローバル志向,フレックス制,貿易・営業,成果主義,,,,,,,,,,,
阪和興業スチール,ESTJ,"ENTP, ISTJ, ENTJ",https://www.hanwa.co.jp/,商社,大規模,グローバル志向,フレックス制,鉄鋼貿易・営業,年功序列,,,,,,,,,,,
阪和商事,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hanwha.com/,商社,大規模,グローバル志向,フレックス制,営業・事業開発,年功序列,,,,,,,,,,,
三井ダイレクト損害保険,ESTJ,"ENTP, ISTJ, ENTJ",https://www.mitsui-direct.co.jp/,保険,大規模,ダイレクト型損害保険,フレックス制,保険知識・データ分析,成果主義,,,,,,,,,,,
三井ホーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.mitsuihome.co.jp/,住宅,大規模,品質志向,フレックス制,建築設計・施工管理,成果主義,,,,,,,,,,,
三井ホームエンジニアリング,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.mitsuihome-eng.com/,建築・住宅,中規模,品質志向・住宅設計,フレックス制,建築技術・施工管理,年功序列,,,,,,,,,,,
三井化学,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsuichem.com/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
三井化学商事,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsuichemicals.com/,商社,大規模,グローバル志向,フレックス制,化学品営業・マーケティング,年功序列,,,,,,,,,,,
三井住友カード,ISTJ,"ESTJ, ENTJ, ISTP",https://www.smbc-card.com/,金融,大規模,安定志向,フレックス制,金融知識・データ分析,年功序列＋成果主義,,,,,,,,,,,
